Asalului   Ashvin     Asnan      Astalte    Atagra     Atalcais   Atena
Adoloa     Bencia     Amotten    Alaune     Arigan     Alurata    Idigina
Imana      Iratik     Ilcarna    Viktranki  Virr       Vodan      Wonimy
Ulash      Edbold     Ehekart    Elgarel    Hoanes     Ocylth     Omittek
Oro        Olorun     Gauda      Kaikirith  Kadesh     Ganesh     Kafra
Kamsotz    Camose     Karus      Cantazen   Kiun       Givil      Kimereth
Quintos    Qusjil     Cutred     Kudhos     Gunaith    Kubela     Kumulul
Grussa     Grude      Kunwolf    Geogioth   Kemosh     Kelnoth    Koyashalk
Corrigan   Colkholm   Gordianus  Conz       Satalan    Sadanu     Zanaharti
Jedafler   Sinagelus  Gibalou    Shapur     Janowar    Chafrian   Jamasb
Janjako    Junaide    Subranch   Shumakyr   Julrat     Singfels   Snevil
Smeldith   Sewels     Ceurin     Celured    Sekmet     Skondot    Sekbuf
Smagur     Semiram    Senwulf    Soaemis    Zorya      Zogidanus  Tauslet
Tafmasib   Tamiel     Dammuna    Demkina    Tamus      Taranis    Tangarol
Dandreen   Tanmus     Chimarma   Chemfei    Chantiko   Chrakera   Thalias
Titos      Tiridates  Tiero      Deumus     Teshona    Demenche   Dwarti
Dwegol     Tothark    Tontiuh    Dometra    Toraman    Trulloch   Dorguk
Trezond    Nageeta    Natariel   Nafhsa     Namtar     Nalaf      Nechozim
Nineri     Ningilth   Nuria      Nudimt     Numashda   Nestor     Nehbkha
Nelgal     Noran      Baul       Haidar     Bacileus   Batazes    Hashepsto
Hanish     Bafram     Balgrula   Balmin     Prole      Helpsal    Herbatius
Fafira     Farbazos   Femakk     Flautus    Frakan     Brigird    Pripega
Frella     Prova      Propus     Petruka    Pragera    Helishev   Belmuut
Horemev    Horks      Hormezd    Brontik    Manjat     Malegant   Magreni
Masyness   Belarbree  Charini    Drisnil    Faeryl     Isotriv    Hjalavar
Luan       Mlezzire   Pharne     Rostak     Telenna    Vrinn      Xarann
Selkar     Elkantin   Guldos     Rilran     Talin      Laele      Tebryn
Molag      Yarafac    Yasdelg    Yarvon     Yalosraf   Durdyna    Yugurta
Ranagarr   Xulark     Yodokus    Jorquat    Ravenchy   Rakim      Rasksas
Ramuman    Rakoner    Rangi      Liborus    Leomel     Ryudoma    Fures
Llybophi   Lukalan    Ruvet      Rugapand   Rutinde    Ludora     Laymon
Rechef     Lenatos    Leneneut   Romuel     Loa        Rokvin     Roschefra
Romark
