Annie      Agatha     Adelaid    Amelia     Alison     Angeline   Anne
Annette    Iona       Iliana     Erma       Elaine     Ingrid     Virginia
Viola      Edda       Etoile     Eponine    Erika      Elma       Elayne
Elena      Aurelie    Odette     Undine     Gertrude   Katarina   Cassandra
Katie      Katejina   Catrine    Camilla    Caroline   Kiana      Kim
Catherine  Karin      Candice    Gwyneth    Gelazela   Grisanbela Cristine
Clementina Katie      Kelly      Gelda      Corelie    Colleen    Colette
Concetta   Saskia     Sabina     Xia        Jeanne     Shelly     Sheryl
Sharon     Cici       Cecille    Sis        Sybil      Jacqulin   Janeth
Shanon     Jocie      Gillian    Swena      Suzanna    Sesily     Cecile
Serina     Thelma     Sonja      Sonia      Soraya     Diane      Dana
Tamara     Dalia      Daryle     Darcie     Chiko      Chareen    Cecelia
Diana      Tina       Tifone     Tinfany    Tia        Della      Delia
Delphine   Telma      Teresya    Dusya      Tonya      Dora       Tosca
Trixie     Trudy      Natalia    Nana       Nanette    Nan        Nieve
Nicole     Nina       Nelly      Norma      Noleen     Bertha     Pat
Babette    Hariette   Bianka     Vivian     Hilary     Hildegard  Viana
Pheobe     Fio        Blanch     Francheska Frida      Prisya     Flora
Beatrice   Hazel      Becile     Betti      Bela       Bonita     Polly
Pauline    Martha     Marcy      Marjorie   Mila       Madeline   Madrine
Mariette   Marielle   Marion     Marisa     Malta      Mareen     Mallory
Mikella    Miserie    Miriam     Milly      Mua        Maryane    Melissa
Meryl      Mel        Melora     Maude      Molly      Eunice     Euphem
Eudit      Eustine    Julianne   Laura      Lana       Labinya    Larisa
Lisa       Liza       Richane    Lita       Lilila     Louize     Luise
Lucretia   Lutia      Lune       Leona      Regina     Lesley     Laetitia
Roxanne    Rosaline   Rosetta    Lotte      Loraine    Loren      Loretta
Wanda
